produto;categoria;usuario;data_comentario;recomendacao;resumo;descricao
Smartphone Samsung Galaxy S8+ Plus SM-G955;"celular-e-smartphone
";e-bit;24/07/2017;Recomendo este produto;excelente;muito boa
Smartphone LG K4 Novo X230;"celular-e-smartphone
";e-bit;15/09/2017;Recomendo este produto;cumpre o que promete;pelo preco e pra usuario que nao quer muto do aparelho compensa
Smartphone LG K4 Novo X230;"celular-e-smartphone
";e-bit;14/09/2017;Recomendo este produto;Muito bom o aparelho me supreendeu e o preço nem fala....;Otimo parabens a Lg ..
Smartphone LG K4 Novo X230;"celular-e-smartphone
";e-bit;28/08/2017;Recomendo este produto;Pessoal;pouco tempo tenho com o aparelho, mas posso dizer que rápido e de fácil manuseio .
Smartphone LG K4 Novo X230;"celular-e-smartphone
";e-bit;27/08/2017;Recomendo este produto;Bom e barato!;Muito bom e barato! Amei. Otima relação custo benefício!
Smartphone LG K4 Novo X230;"celular-e-smartphone
";e-bit;22/08/2017;Recomendo este produto;muito bom;otima
Smartphone Samsung Galaxy J1 Mini SM-J105;"celular-e-smartphone
";e-bit;18/09/2016;Recomendo este produto;bom custo beneficio, bom presente para uma adolescente!;atende o basico de um aparalho simples
Smartphone LG K10 Power M320TV;"celular-e-smartphone
";Pierre;16/10/2017;Recomendo este produto;Excelente custo benefício;"Tenho o celular há algumas semanas. O celular atende todas as expectativas para quem acessa muito as redes sociais, possui uma memória interna boa de 32gb, tem uma excelente bateria que dura sempre mais que um dia, conseguiu rodar a maioria dos jogos instalados, além de possuir TV Digital. 
Para os amantes de fotos, ambas as câmeras possuem flash e frontal ainda tem um ângulo de 120º que facilita muito em selfies com muitas pessoas.
Uma ressalva a câmera filma em Full HD, e sim em HD (720p), o que no meu caso não atrapalha.
O valor pago foi de R$690,00 dividido em 10 vezes sem juros, é um ótimo custo benefício pelo preço."
Smartphone LG K10 Power M320TV;"celular-e-smartphone
";Joseane Santos da Silva;30/09/2017;Recomendo este produto;Entrega power;"Entrega foi muito rápida. Comprei no dia 23/09/2017 e chegou no dia 27/09/2017. 4 dias 
Muito bom. Tudo certinho, embalado discretamente. Super recomendo o site."
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";Hudson José Gomes Coelho;10/10/2016;Recomendo este produto;Avaliação;O aparelho é muito bom. O mais surpreendente é que a bateria dura, minimamente 2 dias, mesmo com uso um pouco mais constante. Com uso moderado, pegando poucas vezes para acender a tela, com o modo de economia sempre ligado, já consegui a incrível marca de 4 dias de bateria, sendo que ainda restavam 15% de bateria. Único problema que encontrei, até agora, é que o teclado, quando mudo a função de letras para símbolos, ele atrasa um pouco. Fora isso, o celular é excelente.
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";e-bit;05/11/2016;Recomendo este produto;Samsung Galaxy J7 Metal;"Excelente produto. Amando!
Aparelho super rápido, bateria duradoura. Simplesmente maravilhoso."
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";rick2809;23/12/2016;Recomendo este produto;Vai um conselho: NÃO COMPREM NA SARAIVA !!!!;"Vai um conselho: NÃO COMPREM NA SARAIVA !!!! 
 Comprei celular que chegou com defeito de recepção de sinais, enviei imediatamente para troca. SARAIVA informou que não pode proceder a troca, pois eu tinha quebrado a trava do chip. 
Não quebrei nenhuma trava, e por que não analisar a possibilidade da trava ter sido quebrada na SARAIVA após o retorno. Por que não acreditar na palavra de um cliente idôneo.   
Instalar um chip no celular não é nada complexo para ninguém, nem pra eu como engenheiro. Se tivesse quebrado trava e utilizasse de má fé como afirmam teria enviado o produto para a troca informando que recebi o produto quebrado !!!! 
Mas não adianta não querem escutar os argumentos, não consegue falar com supervisor/ gerente que poderia refletir sobre a decisão ( só atendentes te atendem e só respondem o que for determinado ), não recebem e-mails pelo atendimento@saraiva.com ( servidor responde haver problema na entrega ???? ) , reclamações pelo site não são respondidos formalmente . Vou ter que consertar o celular ( perdi a garantia ) por um dano causado no retorno do celular para a SARAIVA. Então Vai um conselho : NÃO COMPREM NA SARAIVA !"
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";e-bit;01/11/2016;Recomendo este produto;Utilidades;O smartphone que tem as utilidades de comunicação, diversão, informação, fotos e mais tudo em um único aparelho.
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";e-bit;16/09/2016;Recomendo este produto;Muito bom;Só falta descobrir todas as funções, com salva no cartão sd.o resto perfeito.
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";e-bit;28/11/2016;Recomendo este produto;Excelente;Achei que pelo tamanho do aparelho seria difícil a usabilidade. Me surpreendi positivamente, a pegada é confortável e o aparelho é leve. A duração da bateria é excelente. Estou satisfeito.
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";e-bit;19/11/2016;Recomendo este produto;satisfação;estava já há tempos pesquisando um celular por necessidade. encontrei no submarino, preço e prazo que fechou com a necessidade de me atualizar em telefonia
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";alex;20/09/2016;Recomendo este produto;ótimo aparelho, deixa o APPLE  pra trás,;Ótima, não trocaria por outra marca, só que o J 7 2016 difere muito pouco do anterior, apenas na diferença da memória RAM, externo a isso, o mesmo aparelho!
Smartphone Samsung Galaxy J7 SM-J710M;"celular-e-smartphone
";e-bit;08/09/2016;Recomendo este produto;Muito bom, exceto a camera tanto frontal quanto a traseir ainda deixam a desejar;É um ótimo aparelho exceto pelas câmeras tanto frontal quanto traseira, que mesmo nessa versão 2016 com algumas coisas aprimoradas ainda assim não são boas, infelizmente desde a versão anterior elas deixam a desejar.
Smartphone Multilaser MS40;"celular-e-smartphone
";e-bit;01/05/2017;Recomendo este produto;um ótimo produto;Produto muito bom
Smartphone Multilaser MS40;"celular-e-smartphone
";e-bit;02/02/2017;Recomendo este produto;REGULAR PELO CUSTO;CELULA COM BAIXO CUSTO E PERFORMANCE
Smartphone Multilaser MS40;"celular-e-smartphone
";e-bit;26/02/2017;Recomendo este produto;Não comprei esse produto....;Não foi esse produto que comprei.....por isso não posso avaliar...
Smart TV LG 32LJ600B 32 polegadas LED Plana;"tv
";e-bit;20/09/2017;Recomendo este produto;muito boa.;recomendo, muito boa imagem e itens de busca.
Smart TV LG 32LJ600B 32 polegadas LED Plana;"tv
";e-bit;18/09/2017;Recomendo este produto;Excelente Produto;A qualidade de imagem é excelente. A função SMART é de fácil utilização.
Smart TV LG 32LJ600B 32 polegadas LED Plana;"tv
";e-bit;17/09/2017;Recomendo este produto;Otima;Já possuía outra TV dessa marca e ela e muito boa
Smart TV LG 32LJ600B 32 polegadas LED Plana;"tv
";zarlos;16/09/2017;Recomendo este produto;Excelente compra;Dentre os modelos ofertados esse é um modelo lançado em 2017 o que deve-se levar em consideração pois tem outros modelos a venda com preço mais barato mas com ano de fabricação de 2013, 2014 ...
Smart TV LG 32LJ600B 32 polegadas LED Plana;"tv
";e-bit;06/09/2017;Recomendo este produto;Otima;Já possuía TV LG e gosto muito
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;06/03/2017;Recomendo este produto;Bom Custo X Beneficio;Imagem bom com som bom, não muito alto, único porem é a demora quando liga ela para carregar os aplicativos como netflix e youtube.
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;14/12/2015;Recomendo este produto;Bom Produto;Boa imagem ,e um bom preço
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;24/10/2016;Recomendo este produto;excelente;O produto é de excelente qualidade.
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;16/12/2015;Recomendo este produto;Ótimo produto !!!!;Imagem perfeita, adorei o smart hub !
Samsung UN43J5200 43 polegadas LED Plana;"tv
";Helder;30/09/2016;Recomendo este produto;Boa TV com preço justo.;Até agora a unica coisa que notei  que quando assisto vídeos no YOUTUBE fica fora de sincronia vídeo do audio (o vídeo é mostrado antes do som) minha NET tem +- 20mb, e as vezes está travando também, mas no custo benefício acho que valeu a pena.
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;09/10/2016;Recomendo este produto;Bom, bonito e barato;Otimo produto.
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;12/02/2017;Recomendo este produto;Custo Benefício;Ainda estamos no início do seu uso, mas esperamos que o produto seja tudo aquilo que a marca representa
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;22/03/2017;Recomendo este produto;Boa compra;Até agora não tenho nada a reclamar.
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;11/09/2017;Recomendo este produto;Otima TV;Nunca tive Tv dessa marca.......
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;30/08/2017;Recomendo este produto;bom;Design e o som poderia ser muito melhor
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;07/08/2017;Recomendo este produto;100%;Simplesmente maravilhoso!!
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;03/08/2017;Recomendo este produto;ÓTIMO;PRODUTO ÓTIMO
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;31/07/2017;Recomendo este produto;BOM E BONITO;acabei de comprar o produto, ainda não tenho comentário formado
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;30/07/2017;Recomendo este produto;qualidade;O que mais gostei foi a entrega
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;23/07/2017;Recomendo este produto;ótimo;excelente produto
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;19/07/2017;Recomendo este produto;avaliação;Ótimo
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;21/06/2017;Recomendo este produto;Samsung;Pouca
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;20/06/2017;Recomendo este produto;Elogio;Produto atende as necessidades e corresponde ao anunciado pela empresa vendedora. Ótimo custo/benefício.
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;20/06/2017;Recomendo este produto;Bom custo beneficio, porem a qualidade  caiu em relação a versão anterior;aparelho de tv caiu muita a qualidade em relação ao modelo anterior que possuímos também, controle remoto muito mais simples, os pês muito frágeis, enfim, baixaram a qualidade para ter um preço competitivo.
Samsung UN43J5200 43 polegadas LED Plana;"tv
";e-bit;19/06/2017;Recomendo este produto;Ótimo;Ótimo
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";Thales;16/06/2017;Recomendo este produto;Superou minhas Expectativas;Sou cliente SONY mas, devido as dificuldades em rodar filmes e séries que baixo (tenho que ficar codificando novamente - tempo perdido), fiz uma pesquisa e li muito bem sobre as TV da Panasonic. Decidi arriscar e, para minha surpresa, realmente é uma excelente TV. Valeu o investimento.
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";Luzia Teruya;28/04/2017;Recomendo este produto;Superou minhas expectativas.;Boa imagem.
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";e-bit;08/09/2017;Recomendo este produto;Tv panasonic;Produto altamente confiável pela marca de tradição...imagem com cor e qualidade excelente.
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";e-bit;27/08/2017;Recomendo este produto;TV Panasonic 10;Já conhecia há muito  através de um amigo, que sempre falava bem desta marca.Propaganda confirmada.
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";e-bit;21/08/2017;Recomendo este produto;Boa;Há tv é boa imagem e som Hifi bom aplicativos bons tudo funciona bem por isso que eu recomendo tv é boa.
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";e-bit;08/08/2017;Recomendo este produto;gosto da marca;boas experiências com a marca
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";e-bit;27/07/2017;Recomendo este produto;Exelente produto;Atendeu todas as minha espectativas, procurava um smart com netflix inclusa nos aplicativos.
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";e-bit;21/07/2017;Recomendo este produto;Excelente produto;Imagem muito boa, DPIs muito eficaz!
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";e-bit;03/07/2017;Recomendo este produto;Muito Bom;Excelente produto. Ótima qualidade de imagem e som. Aprovado.
Smart TV Panasonic Viera TC-40DS600B 40 polegadas LED Plana;"tv
";e-bit;28/06/2017;Recomendo este produto;Melhor custo-benefício;Ainda não usei muito, mas estou satisfeito até o momento. Atende ao esperado plenamente.
Smart TV Philco PH32B51DSGW 32 polegadas LED Plana;"tv
";e-bit;24/10/2016;Recomendo este produto;Ótimo produto;ótimo produto só demorou muito para chegar, mais no ato da compra fui informada o prazo de entrega então já estava ciente.
Sony KDL-32R305B 32 polegadas LED Plana;"tv
";e-bit;07/04/2015;Recomendo este produto;Produto de boa qualidade.;Fácil manuseio e qualidade de imagem.
Sony KDL-32R305B 32 polegadas LED Plana;"tv
";e-bit;12/07/2015;Recomendo este produto;Bom custo benefício;Tv com alta qualidade de imagem e já possui HD
Sony KDL-32R305B 32 polegadas LED Plana;"tv
";e-bit;08/06/2015;Recomendo este produto;Muito bom;Uma tv de boa qualidade e de bom retorno para uso em ambientes menores, como um apartamento
Sony KDL-32R305B 32 polegadas LED Plana;"tv
";e-bit;26/05/2015;Recomendo este produto;Imagem excelente!;"Dei a TV de presente para minha mãe, ela está muito satisfeita! 
Porém, as pilhas do controle remoto não estavam na embalagem, o que dificultou o uso do aparelho."
Sony KDL-32R305B 32 polegadas LED Plana;"tv
";e-bit;20/03/2015;Recomendo este produto;Excelente;Sony, dispensa comentários
Microsoft Xbox One 1024 GB;"console-de-videogame
";e-bit;20/11/2016;Recomendo este produto;Console Maravilhoso;Console fantástico. Vela o investimento.
Microsoft Xbox One 1024 GB;"console-de-videogame
";e-bit;20/11/2016;Recomendo este produto;Console Maravilhoso;Console fantástico, vale o investimento.
Microsoft Xbox One 1024 GB;"console-de-videogame
";e-bit;08/04/2016;Recomendo este produto;ótimo;o produto é ótimo, mas a loja deixou a desejar na conclusão do pedido, foram 2 dias úteis para confirmar o pagamento por processo interno.
Microsoft Xbox One 1024 GB;"console-de-videogame
";e-bit;25/01/2017;Recomendo este produto;prodoto de exelente qualidade;Entrega rápido e fácil site
Microsoft Xbox One 1024 GB;"console-de-videogame
";e-bit;20/11/2016;Recomendo este produto;Console Maravilhoso;Console fantástico, vale o investimento.
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";e-bit;13/04/2017;Recomendo este produto;Otimo;muito boa
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";Davi Franco;05/04/2017;Recomendo este produto;Produto cumpre o que promete;"Excelente plataforma de jogos, tem muitos exclusivos nesse ano de 2017.
Boas promoções semanais nas quais você pode adquirir diversos jogos com preços acessíveis."
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";e-bit;13/06/2017;Recomendo este produto;PS4;o produto aparentemente (so tem 03 meses de uso),  esta funcionando normal,  sendo que a ventilação tem que ser adaptada externamente,  pois ele aquece muito e impressão que da e que a qualquer momento pode da um superaquecimento,  isso poderá provocar danos ao mesmo,  tenho que manter sempre dois cooler's direcionados para o aparelho.
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";João Gabriel de Souza;03/04/2017;Recomendo este produto;Vale a pena!;Comprem de olhos fechados!
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";e-bit;23/03/2017;Recomendo este produto;Excelente;Excelente produto, controle sem fio, cabos bons, definição boa, só acho q devia ter mais promoções de jogos.
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";e-bit;10/07/2017;Recomendo este produto;Sonho realizado;Sensacional sonho realizado
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";e-bit;18/06/2017;Recomendo este produto;Ótimo;Excelente
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";e-bit;08/06/2017;Recomendo este produto;NADA A RECLAMAR, PRODUTO ÓTIMO.;"ATÉ O MOMENTO NAO TIVE NENHUM TIPO DE PROBLEMA COM EQUIPAMENTO, RECOMENDO ;)"
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";e-bit;05/06/2017;Recomendo este produto;Muito bom;Sensacional
Sony PS4 PlayStation 4 Slim 500 GB;"console-de-videogame
";e-bit;05/06/2017;Recomendo este produto;Avaliação do play 4;Comprei para meu filho, ele amou o vídeo game.
Microsoft Xbox One 500 GB;"console-de-videogame
";Romulo;30/11/2014;Recomendo este produto;EXCELENTE;100% perfeito, quando tinha o 360 pensava que possuía uma excelente console, após comprar o ONE vi que AGORA tenho uma console de verdade!
Microsoft Xbox One 500 GB;"console-de-videogame
";e-bit;17/03/2015;Recomendo este produto;FALTA CONTROLE;LAMENTÁVEL NÃO VIR COM 2 CONTROLES
Microsoft Xbox One 500 GB;"console-de-videogame
";e-bit;04/02/2015;Recomendo este produto;o melhor da NextGen!;comprei meu lindo Xbox One e ele tem superado minhas espectativas,não me deu nenhum problema até agora,não super aquece e não trava,estou muito felíz com ele.
Microsoft Xbox One 500 GB;"console-de-videogame
";e-bit;31/03/2015;Recomendo este produto;Ótimo console, mas faltam jogos;É o melhor console que existe, no mesmo nível técnico do PS4, mas ainda faltam jogos que explorem melhor a capacidade do hardware.
Microsoft Xbox One 500 GB;"console-de-videogame
";Andrey Nascimento;20/10/2015;Recomendo este produto;Incrivel!;Desde que comprei meu Xbox One a pouco mais de 6 meses, a diversão aqui em casa está garantida! Produto excelente! Fiquei muito impressionado com a sua qualidade gráfica - que está indiscutivelmente superior em relação a geração passada - tudo parece tão real que até me sinto dentro de alguns jogos. Seu controle é bastante resistente e confortável, a biblioteca de games possui títulos excelentes e com a Xbox LIVE da para jogar com pessoas do mundo todo!
Microsoft Xbox One 500 GB;"console-de-videogame
";e-bit;26/02/2015;Recomendo este produto;Ótimo;A nova geração de consoles chegou com tudo e o xbox one é o que está na frente. Com otimos jogos exclusivos.
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";e-bit;14/10/2015;Recomendo este produto;PS3 é o melhor;Ótimos gráficos, ótima jogabilidade, melhores exclusivos... ps3 é o melhor que tá tendo!
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";e-bit;13/11/2013;Recomendo este produto;Excelente produto!;Excelente produto, recomendo a todos que queiram diversão de qualidade!
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";Tainã Lopes;26/11/2015;Recomendo este produto;Ipad dos meus sonhos;ele e muito bom otimo desenpenho pega varios tipos de jogos ele e muito bom
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";Hanyere;25/10/2015;Recomendo este produto;Muito bom;Muito bom.
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";Carloilton Sousa;12/10/2015;Recomendo este produto;muito últil / e mais legal e muita mais funções...;Parabéns, por esse produdo legal gostei bastante dele e quero da um pra minha mãe...
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";Lucas djyone;03/10/2015;Recomendo este produto;PS3 - Diversão para todos!;O Playstation 3 é conhecido como um videogame para os jogadores mais hardcore, porém, penso que ele seja um console para a família toda, por apresentar um leitor de Blu-ray, fazendo com que todos possam assistir um bom filme. Além disso, tem jogos para crianças e outros games casuais, além é claro dos jogos mais pesados, que fizeram o sucesso do console.
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";EduardoNeves;12/10/2015;Recomendo este produto;Ps3;Muito bom
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";Wilton;08/10/2015;Recomendo este produto;Amazing.;Ainda vou ter muitas experiências, para poder voltar aqui e contar pra vocês.
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";Hugo Araújo;17/09/2015;Recomendo este produto;ótimo;Ótimo produto, muito bom em todos os quesitos!!
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";e-bit;11/09/2015;Recomendo este produto;ótimo;produto muito bom.
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";e-bit;04/09/2015;Recomendo este produto;ótimo;muito boa
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";John Nicollas;06/07/2015;Recomendo este produto;muito bom;amei tudo isso.
Sony PS3 Playstation 3 Super Slim 500 GB;"console-de-videogame
";e-bit;26/02/2015;Recomendo este produto;Boa;O produto é bom
